"id","state","leaid","leaid_name","name_raw","name_clean","year","charter","salary"
"ar00001","ar","0500001","Dewitt School District","WAYMAN, ROY G.","roy wayman",2007,"No charter schools",NA
"ar00002","ar","0500001","Dewitt School District","WAYMAN, ROY G.","roy wayman",2008,"No charter schools",NA
"ar00003","ar","0500001","Dewitt School District","WAYMAN, ROY G.","roy wayman",2009,"No charter schools",NA
"ar00004","ar","0500001","Dewitt School District","WAYMAN, ROY G.","roy wayman",2010,"No charter schools",NA
"ar00005","ar","0500001","Dewitt School District","WAYMAN, ROY G.","roy wayman",2011,"No charter schools",NA
"ar00006","ar","0500001","Dewitt School District","WAYMAN, ROY G.","roy wayman",2012,"No charter schools",NA
"ar00007","ar","0500001","Dewitt School District","Dardenne, Wanda L.","wanda dardenne",2013,"No charter schools",NA
"ar00008","ar","0500001","Dewitt School District","Dardenne, Wanda L.","wanda dardenne",2014,"No charter schools",NA
"ar00009","ar","0500001","Dewitt School District","Dardenne, Wanda L.","wanda dardenne",2016,"No charter schools",NA
"ar00010","ar","0500001","Dewitt School District","Hill, Nick B.","nick hill",2017,"No charter schools",NA
"ar00011","ar","0500001","Dewitt School District","Hill, Nick B.","nick hill",2018,"No charter schools",NA
"ar00012","ar","0500001","Dewitt School District","Hill, Nick B.","nick hill",2019,"No charter schools",NA
"ar00013","ar","0500001","Dewitt School District","Hill, Nick B.","nick hill",2020,"No charter schools",NA
"ar00014","ar","0500001","Dewitt School District","Hill, Nick B.","nick hill",2021,"No charter schools",NA
"ar00015","ar","0500001","Dewitt School District","Hill, Nick B.","nick hill",2022,"No charter schools",NA
"ar00016","ar","0500001","Dewitt School District","Hill, Nick B.","nick hill",2023,"No charter schools",NA
"ar00017","ar","0500001","Dewitt School District","Hill, Nick B.","nick hill",2024,"No charter schools",NA
"ar00018","ar","0500006","Warren School District","TOLBERT, ANDREW","andrew tolbert",2007,"No charter schools",NA
"ar00019","ar","0500006","Warren School District","TOLBERT, ANDREW","andrew tolbert",2008,"No charter schools",NA
"ar00020","ar","0500006","Warren School District","TOLBERT, ANDREW","andrew tolbert",2009,"No charter schools",NA
"ar00021","ar","0500006","Warren School District","TOLBERT, ANDREW","andrew tolbert",2010,"No charter schools",NA
"ar00022","ar","0500006","Warren School District","TOLBERT, ANDREW","andrew tolbert",2011,"No charter schools",NA
"ar00023","ar","0500006","Warren School District","TOLBERT, ANDREW","andrew tolbert",2012,"Some charter schools",NA
"ar00024","ar","0500006","Warren School District","JOHNSON, MARILYN","marilyn johnson",2013,"Some charter schools",NA
"ar00025","ar","0500006","Warren School District","ACKLIN, BOBBY J.","bobby acklin",2014,"Some charter schools",NA
"ar00026","ar","0500006","Warren School District","CORNISH, BRYAN","roger cornish",2016,"Some charter schools",NA
"ar00027","ar","0500006","Warren School District","CORNISH, BRYAN","roger cornish",2017,"Some charter schools",NA
"ar00028","ar","0500006","Warren School District","CORNISH, BRYAN","roger cornish",2018,"Some charter schools",NA
"ar00029","ar","0500006","Warren School District","CORNISH, BRYAN","roger cornish",2019,"Some charter schools",NA
"ar00030","ar","0500006","Warren School District","CORNISH, BRYAN","roger cornish",2020,"Some charter schools",NA
"ar00031","ar","0500006","Warren School District","CORNISH, BRYAN","roger cornish",2021,"Some charter schools",NA
"ar00032","ar","0500006","Warren School District","CORNISH, ROGER","roger cornish",2022,"Some charter schools",NA
"ar00033","ar","0500006","Warren School District","CORNISH, ROGER","roger cornish",2023,"Some charter schools",NA
"ar00034","ar","0500006","Warren School District","CORNISH, ROGER","roger cornish",2024,"Some charter schools",NA
"ar00035","ar","0500009","Corning School District","EDINGTON, III, JOHN","john edington",2007,"No charter schools",NA
"ar00036","ar","0500009","Corning School District","EDINGTON, JOHN","john edington",2008,"No charter schools",NA
"ar00037","ar","0500009","Corning School District","EDINGTON, JOHN","john edington",2009,"No charter schools",NA
"ar00038","ar","0500009","Corning School District","EDINGTON, JOHN","john edington",2010,"No charter schools",NA
"ar00039","ar","0500009","Corning School District","SMITH, KELLEE","kellee smith",2011,"No charter schools",NA
"ar00040","ar","0500009","Corning School District","SMITH, KELLEE","kellee smith",2012,"No charter schools",NA
"ar00041","ar","0500009","Corning School District","Smith, Kellee  .","kellee smith",2013,"No charter schools",NA
"ar00042","ar","0500009","Corning School District","Smith, Kellee","kellee smith",2014,"No charter schools",NA
"ar00043","ar","0500009","Corning School District","Smith, Kellee","kellee smith",2016,"No charter schools",NA
"ar00044","ar","0500009","Corning School District","Smith, Kellee","kellee smith",2017,"No charter schools",NA
"ar00045","ar","0500009","Corning School District","Smith, Kellee","kellee smith",2018,"No charter schools",NA
