name,year1,state1,leaid1,leaid_name1,year2,state2,leaid2,leaid_name2,year3,state3,leaid3,leaid_name3,prediction,confidence,reasoning,evidence_urls,critic_score,critic_grade
a katrise perera,2011-2014,va,5102010,Isle Of Wight County,"2016-2018, 2020",or,4106000,Gresham-Barlow SD 10J,,,,,same,high,"I have strong evidence that both superintendent records refer to the same person - Dr. A. Katrise Perera. 

**Tier 1 Evidence Found:**
- **Direct Connection**: Multiple sources explicitly state that Dr. A. Katrise Perera moved from Isle of Wight County Schools (Virginia, 2011-2015) to Gresham-Barlow School District (Oregon, starting 2017). The Outlook article directly states: ""She was also superintendent for the Isle of Wight County Schools in Smithfield, Virginia"" before being named Gresham-Barlow superintendent.
- **Official Biography**: Lancaster ISD's official webpage confirms her career trajectory: ""Before joining Lancaster ISD in June of 2021, Dr. Perera served as the superintendent of schools in Oregon (2017-2021) and Virginia (2011-2015).""

**Career Timeline Verification:**
- **Virginia Position**: Multiple sources confirm A. Katrise Perera served as Isle of Wight County Superintendent from 2011-2015 (matching the 2011-2014 record)
- **Oregon Position**: Multiple sources confirm she was named Gresham-Barlow superintendent in May 2017 and served until 2021 (matching the 2016-2018, 2020 record)
- **Name Consistency**: All sources use ""A. Katrise Perera"" or ""Dr. A. Katrise Perera"" - the ""Mrs."" title in Position 1 is just a courtesy title variation

**Geographic and Professional Relevance:**
- All sources refer to US K-12 education leadership positions
- The career progression from Virginia to Oregon is geographically plausible for a superintendent
- Timeline shows clear progression: Virginia (2011-2015) → Oregon (2017-2021) → Texas (2021-present)

**Quality Gates Met:**
- ✅ Fetched primary sources from official district websites and news articles
- ✅ Searched both districts and found consistent information
- ✅ Verified full name matches at both districts
- ✅ Multiple independent sources corroborate the same career trajectory

This is clearly the same person who moved between districts as part of her superintendent career progression.","https://www.lancasterisd.org/article/816484, https://theoutlookonline.com/2017/05/04/katrise-perera-houston-educator-named-gresham-barlow-superintendent/, https://www.thetidewaternews.com/news/iw-school-superintendent-decides-to-stay-221868, https://www.lancasterisd.org/page/superintendents-bio",19,CONFIRMED
a katrise perera,2011-2014,va,5102010,Isle Of Wight County,2021-2024,tx,4826670,Lancaster Isd,,,,,same,high,"Through comprehensive research across multiple phases, I have found definitive evidence that Mrs. A. Katrise Perera (Position 1) and Agnella Perera (Position 2) are the same person.

**Key Evidence Found:**

1. **Name Connection**: Multiple sources confirm that ""Agnella Katrise Perera"" is the full name of the superintendent commonly known as ""Dr. A. Katrise Perera"" or ""Dr. Katrise Perera.""

2. **Career Trajectory Documentation**: 
   - Lancaster ISD's official announcement PDF explicitly states she served as ""Superintendent for Isle of Wight County Schools (IWCS) from 2011-2015""
   - Multiple professional profiles and news articles confirm she was superintendent in Virginia (2011-2015) before becoming superintendent at Lancaster ISD (2021-present)
   - Her career path shows: Virginia (2011-2015) → Corporate role (2015-2017) → Oregon (2017-2021) → Texas/Lancaster ISD (2021-present)

3. **Official Documentation**: Texas salary reports list her as ""PERERA, AGNELLA KATRISE"" for Lancaster ISD, confirming the full name connection.

4. **Consistent Timeline**: The timeline perfectly aligns - she left Virginia in 2015 and arrived at Lancaster ISD in 2021, with documented positions in between.

5. **Multiple Independent Sources**: District websites, professional organizations, news articles, and salary databases all consistently point to the same person with this career progression.

The evidence clearly shows these records refer to the same highly accomplished educator who has served as superintendent in multiple states, with ""Agnella"" being her first name and ""Katrise"" being her middle name that she professionally uses.","https://core-docs.s3.amazonaws.com/documents/asset/uploaded_file/3063/LISD/2299381/New_Supt_Announcement_-_Dr._Perera_Updated.pdf, https://www.lancasterisd.org/page/superintendents-bio, https://www.thetidewaternews.com/news/iwcs-superintendent-to-leave-in-june-231446, https://www.openupresources.org/resource/dr-a-katrise-perera-named-2024-recipient-our-excellence-in-equity-leadership-award/, https://www.texaspolicy.com/wp-content/uploads/2024/05/Super-Salaries.pdf",20,CONFIRMED
aaron spence,2012-2013,nc,3703090,Moore County Schools,2024,va,5102250,Loudoun County Public Schools,,,,,same,high,"I have found conclusive evidence that Aaron Spence at Moore County Schools (NC) in 2012-2013 is the same person as Aaron Spence at Loudoun County Public Schools (VA) in 2024. 

**Evidence Analysis:**
- **TIER 1 Sources**: Multiple professional association sources (AASA, District Consortium) explicitly document Aaron Spence's career trajectory from Moore County Schools to Virginia Beach City Public Schools (2014-2023) to Loudoun County Public Schools (2024-present)
- **TIER 2 Sources**: News articles from Fayetteville Observer and The Pilot confirm his tenure at Moore County Schools from December 2011 through 2013, with his departure announced in December 2013 to take the Virginia Beach position
- **TIER 1 Connection**: The AASA profile (The School Superintendents Association) explicitly states: ""Before coming to Virginia Beach, I served as superintendent of Moore County Public Schools in North Carolina"" and ""I came to Loudoun from Virginia Beach City Public Schools, where I had served nine years as superintendent""
- **Timeline Verification**: The timeline is perfectly plausible - Moore County (2012-2013) → Virginia Beach (2014-2023) → Loudoun County (2024-present)

**Quality Gates Met:**
✓ Fetched and read multiple primary sources 
✓ Verified both positions with independent sources
✓ All results are relevant to US K-12 education
✓ Confirmed full name ""Aaron Spence"" / ""Dr. Aaron Spence"" at both districts
✓ Timeline is chronologically consistent

This represents a clear career progression path for the same individual superintendent, with multiple independent professional sources documenting the complete trajectory between all three positions.","https://districtconsortium.net/members/loudoun-county-public-schools-va, https://www.aasa.org/about-aasa/person/aaron-spence, https://www.fayobserver.com/story/business/2013/12/18/moore-schools-superintendent-leaving-for/22134643007/, https://blueridgeleader.com/lcps-appoints-dr-aaron-spence-superintendent/",20,CONFIRMED
aaron spence,2012-2013,nc,3703090,Moore County Schools,2014-2023,va,5103840,Virginia Beach,,,,,same,high,"The evidence overwhelmingly shows that Aaron Spence and Dr. Aaron C. Spence are the same person. Multiple Tier 1 sources explicitly document his career progression:

1. The Fayetteville Observer (2013) reports Aaron Spence's resignation from Moore County Schools to become superintendent of Virginia Beach City Public Schools
2. Virginia Association of School Superintendents (2018) biography states Dr. Aaron C. Spence ""was the Superintendent of Moore County Schools in North Carolina"" before being ""appointed as the Superintendent of Virginia Beach City Schools on June 14, 2014""
3. Virginia Beach City Public Schools official biography confirms ""Dr. Spence came to VBCPS after serving as superintendent of Moore County Public Schools in North Carolina""
4. AASA (School Superintendents Association) profile states Dr. Spence ""served as superintendent of Moore County Public Schools in North Carolina"" before Virginia Beach

The timeline is perfectly consistent: Moore County Schools (2012-2013) → Virginia Beach City Public Schools (2014-2023). The name variation (Aaron Spence vs. Dr. Aaron C. Spence) represents the same individual with different formal titles used in different contexts. All sources refer to the same person's career progression between these two districts.","https://www.fayobserver.com/story/business/2013/12/18/moore-schools-superintendent-leaving-for/22134643007/, https://vassonline.org/aaron-spence-is-the-2018-virginia-superintendent-of-the-year/, https://www2.vbschools.com/administration/superintendent/charting/bio.asp, https://www.aasa.org/about-aasa/person/aaron-spence",20,CONFIRMED
albert roberts,2008,mi,2609900,Clarkston,2010-2013,il,1729250,Oak Park Esd 97,,,,,same,high,"I have strong evidence that Albert Roberts from Clarkston, MI (2008) and Dr. Albert G Roberts from Oak Park ESD 97, IL (2010-2013) are the same person. 

**Key Evidence Found:**
1. **Direct Connection Documented**: A 2010 Oak Park news article explicitly states that Albert Roberts was ""just retired as superintendent of schools in the Detroit suburb of Clarkston"" when he was hired by Oak Park District 97.

2. **Career Timeline Confirmed**: 
   - Roberts served 14 years as Clarkston superintendent until May 2010 when he took Michigan's $40,000 retirement incentive
   - He was hired by Oak Park District 97 in June 2010 with a 3-year contract at $195,000 salary
   - Multiple Oak Park board minutes from 2011-2014 consistently refer to him as ""Dr. Al Roberts"" or ""Superintendent Dr. Al Roberts""

3. **Name Consistency**: The person is referred to as ""Albert Roberts,"" ""Al Roberts,"" and ""Dr. Albert Roberts"" across different sources, which is consistent with professional naming conventions where the title ""Dr."" and middle initial ""G"" are used in formal contexts.

4. **Geographic and Temporal Plausibility**: The timeline perfectly aligns - retiring from Michigan in 2010 and immediately starting in Illinois that same summer.

**Evidence Quality**: This represents multiple Tier 1 sources including direct hiring announcements, official board minutes, and news articles covering the specific transition between districts. The evidence explicitly connects both positions and shows the career progression.

**Quality Gates Met**: 
- ✓ Fetched primary sources from both districts
- ✓ Searched both districts thoroughly  
- ✓ Verified full name consistency at both positions
- ✓ Found explicit connection between the two districts
- ✓ Timeline is perfectly plausible","https://www.oakpark.com/2010/06/29/new-d97-superintendent-brings-hands-on-energy-to-post/, https://www.theoaklandpress.com/2010/05/26/superintendent-of-clarkston-schools-retiring/, https://oxfordleader.com/articles/archive/clarkston-switching-to-trimester-system/, https://meetings.boardbook.org/Documents/DownloadPDF/dcf5bedc-a60a-441a-912a-d2fe94bde678?org=1477, http://www.op97.org/boe/files/documents/November132012minutes.pdf",20,CONFIRMED
alexandra estrella,2014-2020,ny,3600079,Nyc Geog Dist # 4 - Manhattan,2020-2023,ct,903090,Norwalk School District,,,,,same,high,"I have found definitive evidence that both superintendent records refer to the same person, Dr. Alexandra Estrella. 

**Evidence Found:**
1. **Norwalk Public Schools Official Bio** (Tier 1): Dr. Alexandra Estrella's official biography on norwalkps.org explicitly states she ""became the Superintendent of Community School District Four in East Harlem, New York"" and served there during the 2019-2020 academic year before joining Norwalk Public Schools on July 1, 2020.

2. **Government Finance Officers Association Profile** (Tier 1): The GFOA profile confirms ""Prior to joining Norwalk, Dr. Estrella spent seven years in the role of superintendent for Community School District Four in East Harlem, New York.""

3. **News Coverage** (Tier 2): Multiple news sources confirm the transition, including The Hour newspaper which reported she had been ""superintendent of Community School District 4 in East Harlem, N.Y., leading 23 schools and 13,500 students"" for seven years before becoming Norwalk superintendent.

**Timeline Verification:**
- Position 1: NYC Geographic District #4 (Community School District 4) in East Harlem, 2014-2020 (7 years)
- Position 2: Norwalk School District (CT), 2020-2023 (started July 1, 2020)

The timeline perfectly aligns with her documented career progression. The seven-year tenure at District 4 (2013-2020) encompasses the 2014-2020 period in the first record, and she began the Norwalk position exactly when the second record starts.

**Name Verification:** Both records reference the same person - Dr. Alexandra Estrella, with the ""Ms."" and ""Dr."" titles being appropriate for different contexts.

**Geographic Relevance:** All sources are US-based K-12 education focused, with no irrelevant international or non-education results.

This represents a clear case of a superintendent moving from a New York City district to a Connecticut district, which is a common career progression in education leadership.","https://www.norwalkps.org/departments/superintendent-of-schools/meet-our-superintendent, https://www.gfoa.org/bio/estrella, https://www.thehour.com/news/article/She-is-visionary-Estrella-brings-new-15382766.php, https://www.norwalkps.org/departments/superintendent-of-schools",20,CONFIRMED
amy kruppe,2007-2013,il,1728500,Niles Esd 71,2015,mi,2618030,Hazel Park,,,,,same,high,"I found strong evidence that both superintendent records refer to the same person:

**Phase 1-2 Evidence:**
- Found official district domains: niles71.org and hazelparkschools.org
- Discovered multiple board meeting minutes from Hazel Park Schools in 2015 clearly identifying ""Dr. Amy Kruppe, Superintendent""

**Phase 3 Connection Evidence:**
- Oakland County 115 (2015): Explicit hiring announcement stating ""Dr. Amy Kruppe (pronounced Kroup-E), from the Niles (IL) Elementary School District 71 (a northwest Chicago suburb), has been selected"" as Hazel Park superintendent
- Patch article: Confirms Amy Kruppe was superintendent of Niles Elementary School District 71
- Journal & Topics articles: Document her resignation from Niles Esd 71 in 2013/2014 with severance arrangements
- 2013 budget PDF: Shows ""a.kruppe"" as author, confirming her role as superintendent at Niles Esd 71

**Career Timeline Verification:**
- The evidence shows a clear career progression: Amy Kruppe was superintendent at Niles Esd 71 through at least 2013, then resigned and was hired as superintendent at Hazel Park Schools in 2015
- This timeline aligns perfectly with the records provided (Niles Esd 71: 2007-2013, Hazel Park: 2015)

**Evidence Quality:**
- Multiple independent sources (Oakland County 115, Patch, Journal & Topics, official district documents)
- Direct connection between the two positions in hiring announcement
- Full name verification at both districts
- No conflicting evidence found

This represents a clear case of the same superintendent moving from one district to another, which is common in the education field.","https://oaklandcounty115.com/2015/05/26/hazel-park-names-dr-amy-kruppe-new-superintendent/, https://patch.com/illinois/niles/culver-school-gets-a-doctor, https://www.journal-topics.com/articles/niles-dist-71-president-speaks-out-on-superintendent-departure/, https://www.hazelparkschools.org/downloads/board_of_education/09_21_15_regular_minutes_unofficial.pdf, https://campussuite-storage.s3.amazonaws.com/prod/2271/b93cac37-f517-11e5-b537-22000bd8490f/8450/89e8e209-1b60-11e6-b537-22000bd8490f/file",20,CONFIRMED
andre spencer,2020-2022,tx,4828890,Manor Isd,2023-2024,nj,3416080,Teaneck Twp,,,,,same,high,"Multiple Tier 1 sources explicitly confirm that Dr. Andre D. Spencer moved from Manor ISD (Texas) to Teaneck Public Schools (New Jersey). The full name matches exactly at both districts, and the timeline is perfectly consistent: Manor ISD (2020-2022) followed by Teaneck (2023-2024). North Jersey News directly states ""Andre Spencer, schools chief in Manor, Texas, was named superintendent of the Teaneck school district"" and CBS Austin confirms he left Manor ISD at the end of 2022. This is clearly the same person who transitioned between these two superintendent positions.","https://www.northjersey.com/story/news/bergen/teaneck/2022/12/15/teaneck-board-of-education-names-texas-schools-chief-to-lead-district/69729778007/, https://cbsaustin.com/news/local/dr-tamey-williams-hill-named-manor-isd-interim-superintendent-board-of-trustees-vote-andre-spencer-chief-human-capital-officer-aisd, https://www.teaneckschools.org/ContactUsAdministration.aspx, https://www.manorisd.net/about-us/news-and-annoucements",19,CONFIRMED
andrew jackson,2012-2013,oh,3904736,Northwest Local,"2015-2021, 2023-2024",in,1811190,Sunman-Dearborn Com Sch Corp,,,,,same,high,"I have strong evidence that Andrew S. Jackson at Northwest Local (OH) and Andrew Jackson at Sunman-Dearborn (IN) are the same person. The evidence includes:

**Tier 1 Evidence (Definitive):**
- Cincinnati.com news article (2015) explicitly covering the transition: ""Northwest superintendent resigns to take new post"" - states Andrew Jackson left Northwest Local to become superintendent of Sunman-Dearborn Community School Corp.
- Ohio School Boards Association document confirming ""Dr. Andrew S. Jackson announced his resignation effective July 31. He has taken a superintendent position in St. Leon, Ind.""

**Career Timeline Match:**
- Andrew Jackson came to Northwest Local from Milan, Indiana in 2008
- Became superintendent at Northwest Local in April 2013 (matching the 2012-2013 record)
- Resigned in July 2015 to take position at Sunman-Dearborn (matching the 2015-2021 record)
- Geographic move from Ohio to Indiana makes sense as he was returning to his ""home district""

**Supporting Evidence:**
- LinkedIn profile shows Andrew Jackson at Sunman-Dearborn with Ball State University education
- Named District VIII Superintendent of the Year in 2022 while at Sunman-Dearborn
- Educational background consistency (Ball State University) across sources

The name difference (Andrew S. Jackson vs Andrew Jackson) is explained by different naming conventions - the Ohio documents use his full name with middle initial, while the Indiana sources use the shorter version. This is common practice in professional contexts.

All evidence points to the same person making a career move from Ohio to Indiana in 2015, with the timeline perfectly matching the provided records.","https://www.cincinnati.com/story/news/local/colerain/2015/05/12/northwest-local-superintendent-leaves-sunman-dearborn/27165167/, https://ohioauditor.gov/auditsearch/Reports/2014/Northwest_Local_School_District_13-Hamilton.pdf, https://www.ohioschoolboards.org/sites/default/files/June8BC.pdf, https://www.linkedin.com/in/andrew-jackson-59226890, https://www.eaglecountryonline.com/news/local-news/dr-andrew-jackson-named-district-viii-superintendent-of-the-year/",19,CONFIRMED
andrew oberg,2017,ga,1300232,Georgia Cyber Academy,2020-2024,pa,4214880,McGuffey SD,,,,,same,high,"I found definitive Tier 1 evidence connecting both positions. The Observer-Reporter article from January 8, 2021 explicitly states that Dr. Andrew Oberg was hired as superintendent at McGuffey School District and was ""a former CEO of Georgia Cyber Academy, the state's largest online school."" This provides a direct, explicit connection between both positions. The McGuffey School District official website confirms Dr. Andrew Oberg as the current superintendent. The timeline is plausible with a 3-year gap between the positions (2017 at Georgia Cyber Academy, 2020-2024 at McGuffey SD), and the full name ""Dr. Andrew Oberg"" matches exactly at both locations. Cross-state superintendent moves from Georgia to Pennsylvania are common career paths.","https://www.observer-reporter.com/news/2021/jan/08/mcguffey-new-superintendent-adjusting-to-role-amid-pandemic/, https://www.mcguffey.k12.pa.us/OfficeoftheSuperintendent.aspx",20,CONFIRMED
