name,year1,state1,leaid1,leaid_name1,year2,state2,leaid2,leaid_name2,year3,state3,leaid3,leaid_name3,prediction,confidence,reasoning,evidence_urls
a katrise perera,"2016-2018, 2020",or,4106000,Gresham-Barlow SD 10J,2021-2024,tx,4826670,Lancaster Isd,,,,,same,high,"I have conclusive evidence that A. Katrise Perera and Agnella Perera are the same person. The evidence comes from multiple independent sources:

**Tier 1 Evidence:**
1. Lancaster ISD official biography (https://www.lancasterisd.org/page/superintendents-bio) explicitly states Dr. A. Katrise Perera served as superintendent in Oregon (2017-2021) before joining Lancaster ISD in June 2021, perfectly matching the timeline in the records.

2. The 2017 superintendent application document (https://huntsvilleunited.org/wp-content/uploads/2017/01/Perera-A.-Katrise-Application.pdf) shows ""Dr. Agnella Katrise Perera"" as the full legal name, confirming that ""Agnella"" is her first name and ""Katrise"" is her middle name that she uses professionally.

3. Multiple professional profiles and sources consistently show ""Dr. A. Katrise Perera"" with the same career trajectory: Virginia (2011-2015), Oregon (2017-2021), then Texas (2021-present).

**Timeline Verification:**
- Position 1: Gresham-Barlow SD 10J (OR), 2016-2018, 2020 ✓
- Position 2: Lancaster ISD (TX), 2021-2024 ✓

The timeline is perfectly plausible with no overlap. She moved from Oregon to Texas in 2021, which is confirmed by her official biography stating she joined Lancaster ISD in June 2021 after serving in Oregon from 2017-2021.

**Name Analysis:**
The records show ""A. Katrise Perera"" and ""Agnella Perera"" - these are the same person with ""Agnella"" being her full first name and ""Katrise"" being her middle name that she uses professionally. This is a common practice where professionals use their middle name professionally.

All sources are US K-12 education focused, geographically relevant, and show consistent career progression across districts. No conflicting evidence was found.","https://www.lancasterisd.org/page/superintendents-bio, https://huntsvilleunited.org/wp-content/uploads/2017/01/Perera-A.-Katrise-Application.pdf, https://www.openupresources.org/resource/dr-a-katrise-perera-named-2024-recipient-our-excellence-in-equity-leadership-award/, https://2016superintendentssymposium.sched.com/akperera34, https://drakatriselee-perera.com/"
a katrise perera,2011-2014,va,5102010,Isle Of Wight County,"2016-2018, 2020",or,4106000,Gresham-Barlow SD 10J,,,,,same,high,"I have strong evidence that both superintendent records refer to the same person - Dr. A. Katrise Perera. 

**Tier 1 Evidence Found:**
- **Direct Connection**: Multiple sources explicitly state that Dr. A. Katrise Perera moved from Isle of Wight County Schools (Virginia, 2011-2015) to Gresham-Barlow School District (Oregon, starting 2017). The Outlook article directly states: ""She was also superintendent for the Isle of Wight County Schools in Smithfield, Virginia"" before being named Gresham-Barlow superintendent.
- **Official Biography**: Lancaster ISD's official webpage confirms her career trajectory: ""Before joining Lancaster ISD in June of 2021, Dr. Perera served as the superintendent of schools in Oregon (2017-2021) and Virginia (2011-2015).""

**Career Timeline Verification:**
- **Virginia Position**: Multiple sources confirm A. Katrise Perera served as Isle of Wight County Superintendent from 2011-2015 (matching the 2011-2014 record)
- **Oregon Position**: Multiple sources confirm she was named Gresham-Barlow superintendent in May 2017 and served until 2021 (matching the 2016-2018, 2020 record)
- **Name Consistency**: All sources use ""A. Katrise Perera"" or ""Dr. A. Katrise Perera"" - the ""Mrs."" title in Position 1 is just a courtesy title variation

**Geographic and Professional Relevance:**
- All sources refer to US K-12 education leadership positions
- The career progression from Virginia to Oregon is geographically plausible for a superintendent
- Timeline shows clear progression: Virginia (2011-2015) → Oregon (2017-2021) → Texas (2021-present)

**Quality Gates Met:**
- ✅ Fetched primary sources from official district websites and news articles
- ✅ Searched both districts and found consistent information
- ✅ Verified full name matches at both districts
- ✅ Multiple independent sources corroborate the same career trajectory

This is clearly the same person who moved between districts as part of her superintendent career progression.","https://www.lancasterisd.org/article/816484, https://theoutlookonline.com/2017/05/04/katrise-perera-houston-educator-named-gresham-barlow-superintendent/, https://www.thetidewaternews.com/news/iw-school-superintendent-decides-to-stay-221868, https://www.lancasterisd.org/page/superintendents-bio"
a katrise perera,2011-2014,va,5102010,Isle Of Wight County,2021-2024,tx,4826670,Lancaster Isd,,,,,same,high,"Through comprehensive research across multiple phases, I have found definitive evidence that Mrs. A. Katrise Perera (Position 1) and Agnella Perera (Position 2) are the same person.

**Key Evidence Found:**

1. **Name Connection**: Multiple sources confirm that ""Agnella Katrise Perera"" is the full name of the superintendent commonly known as ""Dr. A. Katrise Perera"" or ""Dr. Katrise Perera.""

2. **Career Trajectory Documentation**: 
   - Lancaster ISD's official announcement PDF explicitly states she served as ""Superintendent for Isle of Wight County Schools (IWCS) from 2011-2015""
   - Multiple professional profiles and news articles confirm she was superintendent in Virginia (2011-2015) before becoming superintendent at Lancaster ISD (2021-present)
   - Her career path shows: Virginia (2011-2015) → Corporate role (2015-2017) → Oregon (2017-2021) → Texas/Lancaster ISD (2021-present)

3. **Official Documentation**: Texas salary reports list her as ""PERERA, AGNELLA KATRISE"" for Lancaster ISD, confirming the full name connection.

4. **Consistent Timeline**: The timeline perfectly aligns - she left Virginia in 2015 and arrived at Lancaster ISD in 2021, with documented positions in between.

5. **Multiple Independent Sources**: District websites, professional organizations, news articles, and salary databases all consistently point to the same person with this career progression.

The evidence clearly shows these records refer to the same highly accomplished educator who has served as superintendent in multiple states, with ""Agnella"" being her first name and ""Katrise"" being her middle name that she professionally uses.","https://core-docs.s3.amazonaws.com/documents/asset/uploaded_file/3063/LISD/2299381/New_Supt_Announcement_-_Dr._Perera_Updated.pdf, https://www.lancasterisd.org/page/superintendents-bio, https://www.thetidewaternews.com/news/iwcs-superintendent-to-leave-in-june-231446, https://www.openupresources.org/resource/dr-a-katrise-perera-named-2024-recipient-our-excellence-in-equity-leadership-award/, https://www.texaspolicy.com/wp-content/uploads/2024/05/Super-Salaries.pdf"
aaron jones,2018,mo,2931050,Warren Co. R-Iii,2019,ar,500055,Benton County School Of Arts,,,,,different,high,"After thorough investigation across multiple phases, I have strong evidence that these two superintendent records refer to DIFFERENT people:

**Phase 1-2 Research Summary:**
- Warren County R-III (MO) domain: warrencor3.org  
- Benton County School of Arts (AR) domain: artsk12.org

**Phase 3 - Individual Position Verification:**
Position 1 (Missouri, 2018): Dr. Aaron Jones was Assistant Superintendent at Warren County R-III School District. Evidence from multiple sources including board documents, enrollment letters, and news articles confirm his role as an assistant superintendent in K-12 administration.

Position 2 (Arkansas, 2019): Aaron Jones is Director of Arts Integration and Museum Partnerships at Arkansas Arts Academy (formerly Benton County School of Arts). Evidence from the school's staff directory and program materials shows his role is specifically in arts education, not district administration.

**Critical Evidence - Different Professional Roles:**
- Missouri position: Assistant Superintendent (district-wide administrative role)
- Arkansas position: Director of Arts Integration and Museum Partnerships (specialized arts education role)

**Evidence Quality:**
- Tier 2: NEE Advantage profile confirming Dr. Aaron Jones's Missouri career trajectory including Warren County R-III
- Tier 2: Arkansas Arts Academy staff directory confirming Aaron Jones as Arts Integration Director
- Tier 3: Multiple district documents and news articles corroborating both positions

**Key Distinction:**
The Missouri Aaron Jones has a doctorate (Ed.D.) and 30+ years in K-12 education administration. The Arkansas Aaron Jones works in arts education integration. These are clearly different career paths and specializations within the education field.

The name ""Aaron Jones"" is moderately common, and while both individuals work in education, they have distinctly different roles and career trajectories that make it clear they are different people.","https://neeadvantage.com/blog/team/aaron-jones/, https://www.artsk12.org/staff?page_no=3, https://www.warrencountyrecord.com/stories/r-iii-district-celebrates-teacher-and-staff-of-the-year,36117, https://sites.google.com/artsk12.org/aaa-arts-integration/home"
aaron spence,2012-2013,nc,3703090,Moore County Schools,2024,va,5102250,Loudoun County Public Schools,,,,,same,high,"I have found conclusive evidence that Aaron Spence at Moore County Schools (NC) in 2012-2013 is the same person as Aaron Spence at Loudoun County Public Schools (VA) in 2024. 

**Evidence Analysis:**
- **TIER 1 Sources**: Multiple professional association sources (AASA, District Consortium) explicitly document Aaron Spence's career trajectory from Moore County Schools to Virginia Beach City Public Schools (2014-2023) to Loudoun County Public Schools (2024-present)
- **TIER 2 Sources**: News articles from Fayetteville Observer and The Pilot confirm his tenure at Moore County Schools from December 2011 through 2013, with his departure announced in December 2013 to take the Virginia Beach position
- **TIER 1 Connection**: The AASA profile (The School Superintendents Association) explicitly states: ""Before coming to Virginia Beach, I served as superintendent of Moore County Public Schools in North Carolina"" and ""I came to Loudoun from Virginia Beach City Public Schools, where I had served nine years as superintendent""
- **Timeline Verification**: The timeline is perfectly plausible - Moore County (2012-2013) → Virginia Beach (2014-2023) → Loudoun County (2024-present)

**Quality Gates Met:**
✓ Fetched and read multiple primary sources 
✓ Verified both positions with independent sources
✓ All results are relevant to US K-12 education
✓ Confirmed full name ""Aaron Spence"" / ""Dr. Aaron Spence"" at both districts
✓ Timeline is chronologically consistent

This represents a clear career progression path for the same individual superintendent, with multiple independent professional sources documenting the complete trajectory between all three positions.","https://districtconsortium.net/members/loudoun-county-public-schools-va, https://www.aasa.org/about-aasa/person/aaron-spence, https://www.fayobserver.com/story/business/2013/12/18/moore-schools-superintendent-leaving-for/22134643007/, https://blueridgeleader.com/lcps-appoints-dr-aaron-spence-superintendent/"
aaron spence,2012-2013,nc,3703090,Moore County Schools,2014-2023,va,5103840,Virginia Beach,,,,,same,high,"The evidence overwhelmingly shows that Aaron Spence and Dr. Aaron C. Spence are the same person. Multiple Tier 1 sources explicitly document his career progression:

1. The Fayetteville Observer (2013) reports Aaron Spence's resignation from Moore County Schools to become superintendent of Virginia Beach City Public Schools
2. Virginia Association of School Superintendents (2018) biography states Dr. Aaron C. Spence ""was the Superintendent of Moore County Schools in North Carolina"" before being ""appointed as the Superintendent of Virginia Beach City Schools on June 14, 2014""
3. Virginia Beach City Public Schools official biography confirms ""Dr. Spence came to VBCPS after serving as superintendent of Moore County Public Schools in North Carolina""
4. AASA (School Superintendents Association) profile states Dr. Spence ""served as superintendent of Moore County Public Schools in North Carolina"" before Virginia Beach

The timeline is perfectly consistent: Moore County Schools (2012-2013) → Virginia Beach City Public Schools (2014-2023). The name variation (Aaron Spence vs. Dr. Aaron C. Spence) represents the same individual with different formal titles used in different contexts. All sources refer to the same person's career progression between these two districts.","https://www.fayobserver.com/story/business/2013/12/18/moore-schools-superintendent-leaving-for/22134643007/, https://vassonline.org/aaron-spence-is-the-2018-virginia-superintendent-of-the-year/, https://www2.vbschools.com/administration/superintendent/charting/bio.asp, https://www.aasa.org/about-aasa/person/aaron-spence"
abbe boring,2005-2007,ga,1300330,Bartow County,2008-2009,tx,4820600,Georgetown Isd,,,,,different,high,"The evidence clearly shows that ""BORING, ABBE LEE"" and ""Abbe Boring"" are the same person. The court document from 2004 references ""Dr. Abbe L. Boring, Superintendent"" of Bartow County Schools, and multiple news sources confirm that Abbe Boring was the superintendent of Georgetown ISD who resigned in 2012. However, the records provided refer to different time periods - Position 1 (Bartow County, GA, 2005-2007) matches the court documentation of Abbe L. Boring's tenure there, while Position 2 (Georgetown ISD, TX, 2008-2009) does not match Abbe Boring's actual tenure at Georgetown ISD, which began later and ended in 2012. The Texas school directory from 2008-09 lists ""DR ABBE BORING"" as superintendent of Georgetown ISD, but this appears to be an error or different person since the news reports clearly show Abbe Boring was still serving as Georgetown superintendent until 2012. The timeline discrepancy and clear separation between the Bartow County position (2005-2007) and the actual Georgetown tenure (ending 2012) indicates these records refer to different time periods of the same person's career, not two different people.","https://www.casemine.com/judgement/us/59146ec5add7b0493433c75b, https://www.statesman.com/story/news/2012/09/22/georgetown-schools-name-superintendent/9958443007/, https://www.statesman.com/story/news/local/2012/09/22/georgetown-schools-superintendent-resigns/9857664007/, https://www.kut.org/education/2010-11-30/meet-the-next-superintendent-of-georgetowns-public-schools"
adolfo melara,"2012-2013, 2015-2019",ca,600039,Delhi Unf,2021-2024,tx,4800020,George I Sanchez Charter,,,,,same,high,"I have found strong evidence that both superintendent records refer to the same person - Adolfo Melara. 

**Evidence Analysis:**
1. **Delhi Unified Position (2012-2013, 2015-2019):** Multiple sources confirm Adolfo Melara served as superintendent of Delhi Unified School District in California during these years, including news articles from 2017-2019 showing him actively leading the district.

2. **George I Sanchez Charter Position (2021-2024):** Multiple sources confirm Adolfo Melara became President and Superintendent of George I. Sanchez Charter Schools in Texas in 2021/2022. Critical evidence comes from a 2022 Houston Woman Holiday publication that explicitly states ""Adolfo Melara becomes president and superintendent"" at AAMA (which operates George I. Sanchez Charter Schools).

3. **Career Continuity:** The timeline is plausible - Melara left Delhi Unified around 2019 and joined AAMA/George I. Sanchez in 2021/2022, representing a normal career progression for a superintendent moving between districts.

4. **Name Verification:** Full name ""Adolfo Melara"" is consistently used across both positions, with no conflicting first names found.

**Evidence Quality:**
- Tier 2 sources: News articles and organizational publications
- Multiple independent confirmations of the same person holding both positions
- Clear chronological progression with no overlap conflicts
- Same distinctive name across both records

The evidence conclusively shows this is the same individual who moved from California to Texas for career advancement.","https://www.turlockjournal.com/news/education/delhi-campus-unites-in-light-of-recent-criticism/, https://stylemagazine.com/news/2024/jan/09/legacy-houston-latino-nonprofit-organization-annou/, https://fliphtml5.com/lctmo/isam/Houston_Woman_Holiday_2022/, https://mercedcountytimes.com/delhi-unified-united-way-providing-ongoing-support-to-community-2/"
alan jensen,2008-2009,ca,691135,Val Verde Unified,2008-2014,ia,1914850,Iowa Valley,,,,,different,high,"I conducted a thorough investigation using multiple search strategies and found definitive evidence that these are two different people:

**Evidence Analysis:**
1. **Val Verde Unified CA (2008-2009)**: Alan Jensen was superintendent from 2009-2012, retiring in June 2012. Multiple Press-Enterprise articles confirm his tenure and retirement details.

2. **Iowa Valley IA (2008-2014)**: Alan J. Jensen (with middle initial) was superintendent from 2008-2014, retiring in 2015. Multiple sources including Iowa Department of Education records, school board minutes, and local news confirm this timeline.

3. **Key Discrepancy - Overlapping Tenures**: The California superintendent was actively serving at Val Verde Unified until June 2012, while the Iowa superintendent was simultaneously serving at Iowa Valley during that exact same period (2008-2014). This temporal impossibility proves they cannot be the same person.

4. **Additional Context**: The Iowa Alan J. Jensen was also simultaneously superintendent of English Valleys school district through a shared superintendent agreement, further confirming his continuous Iowa service during the California period.

**Quality Gates Verified:**
- ✓ Fetched and analyzed multiple primary sources including news articles and official documents
- ✓ Searched both districts comprehensively  
- ✓ Confirmed full names and timelines at both locations
- ✓ Identified temporal impossibility (overlapping tenures in different states)

The evidence clearly shows these are two different individuals who happened to share the same name and profession in different states during overlapping time periods.","https://www.pressenterprise.com/2012/06/13/perris-val-verde-schools-chief-to-retire/, https://www.press-citizen.com/story/news/local/eastern-iowa/2015/12/29/2015-reviewing-past-year/78018800/, https://educate.iowa.gov/media/1937/download?inline, https://www.iowa-valley.k12.ia.us/District_Information/EquityPolicy.pdf, http://iowa-valley.k12.ia.us/Board%20Minutes/Minutes%20Joint%20Meeting%2006%2011%202014.pdf"
albert roberts,2008,mi,2609900,Clarkston,2010-2013,il,1729250,Oak Park Esd 97,,,,,same,high,"I have strong evidence that Albert Roberts from Clarkston, MI (2008) and Dr. Albert G Roberts from Oak Park ESD 97, IL (2010-2013) are the same person. 

**Key Evidence Found:**
1. **Direct Connection Documented**: A 2010 Oak Park news article explicitly states that Albert Roberts was ""just retired as superintendent of schools in the Detroit suburb of Clarkston"" when he was hired by Oak Park District 97.

2. **Career Timeline Confirmed**: 
   - Roberts served 14 years as Clarkston superintendent until May 2010 when he took Michigan's $40,000 retirement incentive
   - He was hired by Oak Park District 97 in June 2010 with a 3-year contract at $195,000 salary
   - Multiple Oak Park board minutes from 2011-2014 consistently refer to him as ""Dr. Al Roberts"" or ""Superintendent Dr. Al Roberts""

3. **Name Consistency**: The person is referred to as ""Albert Roberts,"" ""Al Roberts,"" and ""Dr. Albert Roberts"" across different sources, which is consistent with professional naming conventions where the title ""Dr."" and middle initial ""G"" are used in formal contexts.

4. **Geographic and Temporal Plausibility**: The timeline perfectly aligns - retiring from Michigan in 2010 and immediately starting in Illinois that same summer.

**Evidence Quality**: This represents multiple Tier 1 sources including direct hiring announcements, official board minutes, and news articles covering the specific transition between districts. The evidence explicitly connects both positions and shows the career progression.

**Quality Gates Met**: 
- ✓ Fetched primary sources from both districts
- ✓ Searched both districts thoroughly  
- ✓ Verified full name consistency at both positions
- ✓ Found explicit connection between the two districts
- ✓ Timeline is perfectly plausible","https://www.oakpark.com/2010/06/29/new-d97-superintendent-brings-hands-on-energy-to-post/, https://www.theoaklandpress.com/2010/05/26/superintendent-of-clarkston-schools-retiring/, https://oxfordleader.com/articles/archive/clarkston-switching-to-trimester-system/, https://meetings.boardbook.org/Documents/DownloadPDF/dcf5bedc-a60a-441a-912a-d2fe94bde678?org=1477, http://www.op97.org/boe/files/documents/November132012minutes.pdf"
