"name_clean","leaid1","years1","state1","leaid_name1","name_raw1","leaid2","years2","state2","leaid_name2","name_raw2"
"a katrise perera","4106000","2016-2018, 2020","or","Gresham-Barlow SD 10J","A. Katrise Perera","4826670","2021-2024","tx","Lancaster Isd","Agnella Perera"
"a katrise perera","5102010","2011-2014","va","Isle Of Wight County","Mrs. A. Katrise Perera","4106000","2016-2018, 2020","or","Gresham-Barlow SD 10J","A. Katrise Perera"
"a katrise perera","5102010","2011-2014","va","Isle Of Wight County","Mrs. A. Katrise Perera","4826670","2021-2024","tx","Lancaster Isd","Agnella Perera"
"aaron jones","2931050","2018","mo","Warren Co. R-Iii","AARON JONES","500055","2019","ar","Benton County School Of Arts","Jones, Aaron"
"aaron spence","3703090","2012-2013","nc","Moore County Schools","Aaron Spence","5102250","2024","va","Loudoun County Public Schools","Aaron Spence"
"aaron spence","3703090","2012-2013","nc","Moore County Schools","Aaron Spence","5103840","2014-2023","va","Virginia Beach ","Dr. Aaron C. Spence"
"abbe boring","1300330","2005-2007","ga","Bartow County","BORING, ABBE LEE","4820600","2008-2009","tx","Georgetown Isd","Abbe Boring"
"adolfo melara","600039","2012-2013, 2015-2019","ca","Delhi Unf","Adolfo Melara","4800020","2021-2024","tx","George I Sanchez Charter","Adolfo Melara"
"alan jensen","691135","2008-2009","ca","Val Verde Unified","Alan Jensen","1914850","2008-2014","ia","Iowa Valley","Alan Jensen"
"albert roberts","2609900","2008","mi","Clarkston","Albert Roberts","1729250","2010-2013","il","Oak Park Esd 97","Dr. Albert G Roberts"
"alexandra estrella","3600079","2014-2020","ny","Nyc Geog Dist # 4 - Manhattan","Ms. Alexandra Estrella","903090","2020-2023","ct","Norwalk School District","dr. alexandra estrella"
"allen johnson","1731950","2003-2014, 2017","il","Pleasant Valley Sch Dist 62","ALLEN B JOHNSON ","3700270","2009-2012","nc","Asheville City Schools","Allen Johnson"
"amy jackson","509570","2007, 2022-2024","ar","Maynard School District","JACKSON, WILLIAM G.","2930750","2024","mo","Van Buren R-I","AMY JACKSON"
"amy kruppe","1728500","2007-2013","il","Niles Esd 71","Amy Kruppe","2618030","2015","mi","Hazel Park","Amy Kruppe"
"andre spencer","4828890","2020-2022","tx","Manor Isd","Andre Spencer","3416080","2023-2024","nj","Teaneck Twp","Dr. Andre D. Spencer"
"andrea perez","643170","2008","ca","Woodville Union Elementary","Andrea Perez","4801438","2023-2024","tx","Basis Texas","Andrea Perez"
"andrew barrett","507530","2022-2024","ar","Hazen School District","BARRETT, ANDREW D.","1716380","2023","il","Geneva Cusd 304","Dr. Andrew J Barrett"
"andrew cook","2600262","2008","mi","Romulus Metro","Andrew Cook","3613830","2013-2024","ny","Hartford Csd","Mr. Andrew Cook"
"andrew jackson","3904736","2012-2013","oh","Northwest Local","Andrew S. Jackson","1811190","2015-2021, 2023-2024","in","Sunman-Dearborn Com Sch Corp","Andrew Jackson"
"andrew miller","3904675","2013-2020","oh","Buckeye Valley Local","Andrew J. Miller","4831290","2022-2024","tx","Moody Isd","Andrew Miller"
