"state","2008","2009","2010","2011","2012","2013","2014","2017","2018","2019","2020","2021","2022","2023","2024","2015","2016","2000","2001","2002","2003","2004","2005","2006","2007","1991","1992","1993","1994","1995","1996","1997","1998","1999"
"AR",16.5,18.7,18.4,18.4,8.9,28.2,18,19.5,20.3,15.3,17.3,18.9,13.5,18.1,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CA",NA,24.9,17,19,16.3,22.2,14.9,18.5,13.2,18.2,20.2,19.9,15.1,NA,NA,19.7,14.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CT",10.7,15.9,22.3,19.6,25.5,15.9,22,13.5,10.3,16,12.3,14,15.1,11.8,NA,16.7,16.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FL",NA,NA,NA,19,8.8,43.4,3.6,42,3.9,7.8,13,31.8,6.4,NA,NA,12.7,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GA",15.4,20.8,19,22.9,15.7,20.7,21.9,17.2,16.8,18.1,9.8,13.3,15.9,18.4,NA,18.6,16.1,22.2,17.3,16.8,24.3,18.2,22,16.5,17.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IA",14.2,19.5,19,19.5,10.7,18.6,15.4,11.7,17.1,17.9,13.4,NA,NA,NA,19.1,16.4,17.4,NA,NA,NA,NA,NA,15.6,17.1,16.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL",16,14.5,14.9,16,20,17.3,24.3,NA,12.7,15.8,0,23.3,16.3,16.1,NA,NA,NA,NA,NA,NA,NA,22.2,21.4,20.5,22.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IN",NA,NA,NA,NA,NA,NA,NA,4.4,32.1,2.4,16.6,11.7,19.9,19.5,15.8,15,19.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KS",NA,NA,14,17.2,13.8,15.7,15.1,17.8,15.3,NA,NA,NA,23.4,22,15,21.7,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MI",NA,NA,NA,NA,19.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MO",17.7,21.9,14.8,16.8,17.8,13.1,18.2,15.7,15.8,13.4,13.8,15.2,15.4,20.2,18.5,14.3,15.4,NA,NA,NA,NA,16,18.6,20.2,17.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NC",NA,NA,15.3,26.7,16.5,24,21.5,23.4,18.4,20,22.4,15.2,25.2,NA,NA,23.4,24.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NE",20.2,14.4,17.5,17.1,16,13.1,10.7,14,13.3,13.5,17.4,15.2,15.6,15.5,11.9,18,13.5,NA,NA,11.5,16.1,20.1,12.5,13.3,20.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NJ",NA,NA,NA,NA,19.3,5.3,38.6,11.8,NA,NA,17.6,16.5,19.8,17.4,17.4,21.3,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NY",NA,NA,NA,20.2,17.2,19.8,18.4,2.4,13.3,17.5,25,17.7,12.7,21.2,14.2,18.9,16.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OH",17.4,14.5,17.2,18.8,25.9,14.4,20.6,11.8,11.8,10.9,12,16.1,12.9,13.8,NA,12.7,13.8,NA,NA,NA,NA,NA,NA,18.6,21.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OK",NA,NA,NA,NA,NA,24,16.5,12.2,18.6,12.7,1.1,0,27,17.9,19.2,11.9,16.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR",NA,NA,NA,NA,NA,15.8,20.9,15.3,18.9,NA,NA,29.6,17.3,14.3,NA,18.4,14.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
