"state","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"ar"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","X","X","X","X","X","X","X","X"," ","X","X","X","X","X","X","X","X","X"
"ca"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"," "," "
"ct"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"," "
"fl"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","X","X","X","X","S","S","S","S","S","S","S","S","S"," "," "
"ga"," "," "," "," "," "," "," "," "," ","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","S","S","S","S","S","S","S","S","S","S"," "
"ia"," "," "," "," "," "," "," "," "," "," "," "," "," "," ","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"," "," ","X","X"
"il"," "," "," "," "," "," "," "," "," "," "," "," "," ","X","X","X","X","X","X","X","X","X","X","X","X"," "," ","X","X","X","X","X","X","X"," "
"in"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","X"," ","X"," ","X","X","X","X","X","X","X","X","X","X","X"
"ks"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","X","X","X","X","X","X","X","X","X","X"," "," ","X","X","X","X"
"mi"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","X"," "," ","X","X"," ","X","X"," "," "," "," "," "," "," "," "," "
"mo"," "," "," "," "," "," "," "," "," "," "," "," "," ","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S"
"nc"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","X","X","X","X","X","X","X","X","X","X","X","X","X","X"," "," "
"ne"," "," "," "," "," "," "," "," "," "," "," ","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"nj"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","X","X","X","X","X","X","X"," ","X","X","X","X","X","X"
"ny"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"oh"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"," "
"ok"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","X","X","X","X","X","X","X","X","X","X","X","X","X"
"or"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","X","X","X","X","X","X","X"," ","X","X","X","X"," "
"pa"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S"
"tn"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","X","X","X","X","X","X","X","X","X","X","X","X"," "," "
"tx","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","X","X"
"va"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"wi"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S"
